Time,Eul_A,Eul_B,Eul_C
0.000000,2.384999,-0.336939,-0.506810
0.000000,2.404286,-0.305531,-0.497137
0.000000,2.394720,-0.235367,-0.477987
0.000000,2.392296,-0.134606,-0.447491
0.000000,2.399387,-0.053025,-0.412124
0.000000,2.408778,0.035207,-0.358209
0.000000,2.428295,0.104591,-0.297080
0.000000,2.486619,0.145109,-0.196959
0.000000,2.538116,0.198705,-0.104033
0.000000,2.613798,0.228791,0.000411
0.000000,2.678226,0.245870,0.086533
0.000000,2.754146,0.236190,0.159062
0.000000,2.868584,0.220175,0.256156
0.000000,2.910020,0.199725,0.303177
0.000000,2.951400,0.195442,0.327357
0.000000,3.019354,0.226327,0.370477
0.000000,3.070596,0.259710,0.396956
0.000000,3.126777,0.309728,0.423947
0.000000,-3.118618,0.366982,0.456369
0.000000,-3.056598,0.415448,0.492786
0.000000,-2.987259,0.462515,0.558528
0.000000,-2.924766,0.529150,0.605016
0.000000,-2.860714,0.621678,0.716936
0.000000,-2.837140,0.730981,0.825922
0.000000,-2.849684,0.891476,0.921592
0.000000,-2.899398,1.034878,1.021127
0.000000,-3.019290,1.193326,1.043215
0.000000,-3.110397,1.261014,0.968651
0.000000,3.011890,1.333598,0.851652
0.000000,2.896614,1.287002,0.686199
0.000000,2.869733,1.365497,0.663772
0.000000,2.619758,1.391671,0.372988
0.000000,2.412337,1.414432,0.139229
0.000000,1.984157,1.430682,-0.254368
0.000000,1.302216,1.493317,-1.050545
0.000000,0.827479,1.429257,-1.469047
0.000000,0.646803,1.423695,-1.660459
0.000000,0.215068,1.420990,-2.148615
0.000000,-0.195392,1.403268,-2.548243
0.000000,-0.399921,1.360648,-2.753937
0.000000,-0.390092,1.364518,-2.775233
0.000000,-0.360910,1.319537,-2.773202
0.000000,-0.347558,1.340505,-2.791601
0.000000,-0.281232,1.389440,-2.746590
0.000000,-0.267806,1.405685,-2.732489
0.000000,-0.250618,1.420990,-2.713909
0.000000,-0.250618,-nan(ind),-2.740941
0.000000,-0.227265,1.435045,-2.687818
0.000000,-0.192794,1.447430,-2.647651
0.000000,-0.297562,1.422336,-2.764062
0.000000,-0.273461,1.427846,-2.717924
0.000000,-0.273461,-nan(ind),0.380507
0.000000,2.717741,1.398537,0.204110
0.000000,2.731723,1.292046,0.175433
0.000000,2.749200,1.157993,0.156440
0.000000,2.727398,1.113388,0.123258
0.000000,2.716196,0.975531,0.119429
0.000000,2.717555,0.888616,0.089601
0.000000,2.722918,0.819786,0.105599
0.000000,2.750560,0.729907,0.110895
0.000000,2.745554,0.661625,0.099719
0.000000,2.777426,0.643251,0.113360
0.000000,2.772341,0.597527,0.119333
0.000000,2.802657,0.579015,0.131289
0.000000,2.822025,0.534023,0.122195
0.000000,2.819842,0.512090,0.124697
0.000000,2.822025,0.534023,0.122195
0.000000,2.799406,0.620203,0.102619
0.000000,2.772924,0.706269,0.101236
0.000000,2.723643,0.830398,0.059192
0.000000,2.679206,0.969141,0.030722
0.000000,2.685154,1.118395,0.073007
0.000000,2.658274,1.233945,0.078722
0.000000,2.649164,1.319536,0.109235
0.000000,2.676300,1.454111,0.126308
0.000000,2.572665,1.490774,0.023805
0.000000,2.466851,1.507539,-0.079830
0.000000,2.466851,1.507539,-0.079830
0.000000,2.466851,1.521802,-0.286939
0.000000,2.466851,1.526072,0.300920
0.000000,2.466851,-nan(ind),0.999924
0.000000,2.466851,1.530794,1.399419
0.000000,2.466851,1.530794,1.399419
0.000000,-2.106354,1.468772,1.450308
0.000000,-2.106354,-nan(ind),0.653956
0.000000,2.931746,1.318734,0.320595
0.000000,2.940188,1.177367,0.279549
0.000000,2.876123,0.830102,0.147350
0.000000,2.878703,0.523830,0.117068
0.000000,2.827361,0.216897,0.087767
0.000000,2.772952,-0.107004,0.080953
0.000000,2.714251,-0.373418,0.081732
0.000000,2.626742,-0.617747,0.122799
0.000000,2.571310,-0.830991,0.215025
0.000000,2.461546,-0.981982,0.320363
0.000000,2.301703,-1.169102,0.535692
0.000000,1.912195,-1.237595,0.822592
0.000000,1.519533,-1.377623,1.235357
0.000000,0.621244,-1.344037,1.952992
0.000000,0.040482,-1.345823,2.538099
0.000000,-0.359088,-1.268986,2.875580
0.000000,-0.580655,-1.226757,3.036607
0.000000,-0.619513,-1.164523,3.074526
0.000000,-0.639465,-1.151069,3.112010
0.000000,-0.672948,-1.151560,-3.110638
0.000000,-0.626960,-1.217392,-3.137841
0.000000,-0.565451,-1.285577,-3.137766
0.000000,-0.554996,-1.333598,-3.090616
0.000000,-0.402169,-1.441091,3.099194
0.000000,2.675342,-1.291320,0.048689
0.000000,2.692189,-0.988496,-0.009410
0.000000,2.697400,-0.664925,-0.104877
0.000000,2.703635,-0.392825,-0.183726
0.000000,2.689412,-0.175906,-0.227484
0.000000,2.690409,0.063643,-0.262667
0.000000,2.580685,0.318982,-0.366735
0.000000,2.379511,0.616766,-0.568404
